No.;Date;Updated;Status;Priority;Alert Level;Tech;Location;Request Type;Subject;Request Detail;Client;Notes;Unnamed: 13
CT001;01/04/2023;04/04/2023;In Progress;High;Medium;Jane Smith;Location A;Bug Fix;Issue 1;Description1;Client A;Note 1;
CT002;03/04/2023;06/04/2023;Open;Low;High;Alex Wong;Location B;Enhancement;Issue 2;Description2;Client B;Note 2;
CT003;05/04/2023;07/04/2023;Resolved;Medium;Low;John Doe;Location C;Bug Fix;Issue 3;Description3;Client C;Note 3;
CT004;07/04/2023;09/04/2023;Closed;High;Medium;Jane Smith;Location A;Bug Fix;Issue 4;Description4;Client D;Note 4;
CT005;09/04/2023;11/04/2023;In Progress;Low;High;Mark Johnson;Location B;Bug Fix;Issue 5;Description5;Client E;Note 5;
CT006;11/04/2023;12/04/2023;Open;Medium;Low;Alex Wong;Location C;Enhancement;Issue 6;Description6;Client F;Note 6;
CT007;13/04/2023;15/04/2023;In Progress;High;Medium;Jane Smith;Location A;Bug Fix;Issue 7;Description7;Client G;Note 7;
CT008;15/04/2023;17/04/2023;Resolved;Low;High;John Doe;Location B;Enhancement;Issue 8;Description8;Client H;Note 8;
CT009;17/04/2023;19/04/2023;Closed;Medium;Low;Mark Johnson;Location C;Bug Fix;Issue 9;Description9;Client I;Note 9;
CT010;19/04/2023;21/04/2023;Open;High;Medium;Alex Wong;Location A;Bug Fix;Issue 10;Description10;Client J;Note 10;
CT011;21/04/2023;23/04/2023;In Progress;Low;High;Jane Smith;Location B;Enhancement;Issue 11;Description11;Client J;Note 11;
CT012;23/04/2023;25/04/2023;Resolved;Medium;Low;Mark Johnson;Location C;Bug Fix;Issue 12;Description12;Client K;Note 12;
CT013;25/04/2023;27/04/2023;Open;High;Medium;Alex Wong;Location A;Bug Fix;Issue 13;Description13;Client L;Note 13;
CT014;27/04/2023;29/04/2023;In Progress;Low;High;John Doe;Location B;Enhancement;Issue 14;Description14;Client M;Note 14;
CT015;29/04/2023;01/05/2023;Resolved;Medium;High;Mark Johnson;Location C;Bug Fix;Issue 15;Description15;Client N;Note 15;
CT016;01/04/2023;04/04/2023;In Progress;High;Medium;Jane Smith;Location A;Bug Fix;Issue 1;Description1;Client A;Note 1;
CT017;03/04/2023;06/04/2023;Open;Low;High;Alex Wong;Location B;Enhancement;Issue 2;Description2;Client B;Note 2;
CT018;05/04/2023;07/04/2023;Resolved;Medium;Low;John Doe;Location C;Bug Fix;Issue 3;Description3;Client C;Note 3;
CT019;07/04/2023;09/04/2023;Closed;High;Medium;Jane Smith;Location A;Bug Fix;Issue 4;Description4;Client D;Note 4;
CT020;09/04/2023;11/04/2023;In Progress;Low;High;Mark Johnson;Location B;Bug Fix;Issue 5;Description5;Client E;Note 5;
CT021;11/04/2023;12/04/2023;Open;Medium;Low;Alex Wong;Location C;Enhancement;Issue 6;Description6;Client F;Note 6;
CT022;13/04/2023;15/04/2023;In Progress;High;Medium;Jane Smith;Location A;Bug Fix;Issue 7;Description7;Client G;Note 7;
CT023;15/04/2023;17/04/2023;Resolved;Low;High;John Doe;Location B;Enhancement;Issue 8;Description8;Client H;Note 8;
CT024;17/04/2023;19/04/2023;Closed;Medium;Low;Mark Johnson;Location C;Bug Fix;Issue 9;Description9;Client I;Note 9;
CT025;19/04/2023;21/04/2023;Open;High;Medium;Alex Wong;Location A;Bug Fix;Issue 10;Description10;Client J;Note 10;
CT026;21/04/2023;23/04/2023;In Progress;Low;High;Jane Smith;Location B;Enhancement;Issue 11;Description11;Client J;Note 11;
CT027;23/04/2023;25/04/2023;Resolved;Medium;Low;Mark Johnson;Location C;Bug Fix;Issue 12;Description12;Client K;Note 12;
CT028;25/04/2023;27/04/2023;Open;High;Medium;Alex Wong;Location A;Bug Fix;Issue 13;Description13;Client L;Note 13;
CT029;27/04/2023;29/04/2023;In Progress;Low;High;John Doe;Location B;Enhancement;Issue 14;Description14;Client M;Note 14;
CT030;29/04/2023;01/05/2023;Resolved;Medium;High;Mark Johnson;Location C;Bug Fix;Issue 15;Description15;Client N;Note 15;
